REF,ROD,HORA,JOGO,ESTÁDIO,CIDADE,UF,DATA,DIA,TimeMandante,UF_M,Gols_M,Gols_V,TimeVisitante,UF_V,GolMandante,GolVisitante,ROD_NUM
91,10º,21:30,Internacional                 RS  1  x  0  Corinthians                   SP,Orlando Scarpelli,Florianópolis,SC,19/06,qua,Internacional,RS,1,0,Corinthians,SP,Internacional RS - 1,Corinthians SP - 0,10
92,10º,21:30,Cruzeiro                        MG 2  x  0  Fluminense                  RJ,Mineirão,Belo Horizonte,MG,19/06,qua,Cruzeiro,MG,2,0,Fluminense,RJ,Cruzeiro MG - 2,Fluminense RJ - 0,10
93,10º,18:30,Vitória                           BA  4  x  2  Atlético                         MG,Manoel Barradas,Salvador,BA,20/06,qui,Vitória,BA,4,2,Atlético,MG,Vitória BA - 4,Atlético MG - 2,10
94,10º,20:00,Flamengo                     RJ  2  x  1  Bahia                            BA,Maracanã,Rio de Janeiro,RJ,20/06,qui,Flamengo,RJ,2,1,Bahia,BA,Flamengo RJ - 2,Bahia BA - 1,10
96,10º,21:30,Palmeiras                     SP  2  x  1  Red Bull Bragantino    SP,Allianz Parque,São Paulo,SP,20/06,qui,Palmeiras,SP,2,1,Red Bull Bragantino,SP,Palmeiras SP - 2,Red Bull Bragantino SP - 1,10
110,11ª,16:00,Criciúma                       SC  2  x  1  Botafogo                      RJ,Heriberto Hulse,Criciúma,SC,2025-06-22 00:00:00,sab,Criciúma,SC,2,1,Botafogo,RJ,Criciúma SC - 2,Botafogo RJ - 1,11
101,11ª,17:30,Grêmio                          RS  0  x  1  Internacional                RS,Couto Pereira,Curitiba,PR,2025-06-22 00:00:00,sab,Grêmio,RS,0,1,Internacional,RS,Grêmio RS - 0,Internacional RS - 1,11
109,11ª,18:30,Cuiabá                          MT  0  x  0  Atlético                         GO,Arena Pantanal,Cuiabá,MT,2025-06-22 00:00:00,sab,Cuiabá,MT,0,0,Atlético,GO,Cuiabá MT - 0,Atlético GO - 0,11
105,11ª,21:30,Vasco da Gama           RJ  4  x  1  São Paulo                    SP,São Januário,Rio de Janeiro,RJ,2025-06-22 00:00:00,sab,Vasco da Gama,RJ,4,1,São Paulo,SP,Vasco da Gama RJ - 4,São Paulo SP - 1,11
104,11ª,16:00,Fluminense                   RJ  0  x  1  Flamengo                     RJ,Maracanã,Rio de Janeiro,RJ,23/06,dom,Fluminense,RJ,0,1,Flamengo,RJ,Fluminense RJ - 0,Flamengo RJ - 1,11
108,11ª,16:00,Athletico                       PR  1  x  1  Corinthians                   SP,Ligga Arena,Curitiba,PR,23/06,dom,Athletico,PR,1,1,Corinthians,SP,Athletico PR - 1,Corinthians SP - 1,11
103,11ª,16:00,Bahia                            BA  4  x  1  Cruzeiro                       MG,Arena Fonte Nova,Salvador,BA,23/06,dom,Bahia,BA,4,1,Cruzeiro,MG,Bahia BA - 4,Cruzeiro MG - 1,11
102,11ª,18:30,Atlético                          MG 1  x  1  Fortaleza                      CE,Arena MRV,Belo Horizonte,MG,23/06,dom,Atlético,MG,1,1,Fortaleza,CE,Atlético MG - 1,Fortaleza CE - 1,11
106,11ª,18:30,Palmeiras                     SP  3  x  1  Juventude                    RS,Allianz Parque,São Paulo,SP,23/06,dom,Palmeiras,SP,3,1,Juventude,RS,Palmeiras SP - 3,Juventude RS - 1,11
107,11ª,18:30,Red Bull Bragantino     SP  2  x  1  Vitória                           BA,Nabi Abi Chedid,Bragança Paulista,SP,23/06,dom,Red Bull Bragantino,SP,2,1,Vitória,BA,Red Bull Bragantino SP - 2,Vitória BA - 1,11
112,12ª,19:00,Cruzeiro                        MG 2  x  0  Athletico                       PR,Mineirão,Belo Horizonte,MG,26/06,qua,Cruzeiro,MG,2,0,Athletico,PR,Cruzeiro MG - 2,Athletico PR - 0,12
115,12ª,19:00,Botafogo                       RJ  2  x  1  Red Bull Bragantino    SP,Nilton Santos,Rio de Janeiro,RJ,26/06,qua,Botafogo,RJ,2,1,Red Bull Bragantino,SP,Botafogo RJ - 2,Red Bull Bragantino SP - 1,12
116,12ª,20:00,Corinthians                   SP  1  x  1  Cuiabá                          MT,Neo Química Arena,São Paulo,SP,26/06,qua,Corinthians,SP,1,1,Cuiabá,MT,Corinthians SP - 1,Cuiabá MT - 1,12
120,12ª,20:00,Juventude                     RS  2  x  1  Flamengo                     RJ,Alfredo Jaconi,Caxias do Sul,RS,26/06,qua,Juventude,RS,2,1,Flamengo,RJ,Juventude RS - 2,Flamengo RJ - 1,12
119,12ª,20:00,Atlético                          GO 1  x  1  Grêmio                         RS,Antônio Accioly,Goiânia,GO,26/06,qua,Atlético,GO,1,1,Grêmio,RS,Atlético GO - 1,Grêmio RS - 1,12
111,12ª,21:30,Internacional                 RS  1  x  2  Atlético                         MG,Heriberto Hulse,Criciúma,SC,26/06,qua,Internacional,RS,1,2,Atlético,MG,Internacional RS - 1,Atlético MG - 2,12
113,12ª,21:30,Bahia                            BA  2  x  1  Vasco da Gama           RJ,Arena Fonte Nova,Salvador,BA,26/06,qua,Bahia,BA,2,1,Vasco da Gama,RJ,Bahia BA - 2,Vasco da Gama RJ - 1,12
118,12ª,21:30,Fortaleza                      CE  3  x  0  Palmeiras                     SP,Arena Castelão,Fortaleza,CE,26/06,qua,Fortaleza,CE,3,0,Palmeiras,SP,Fortaleza CE - 3,Palmeiras SP - 0,12
114,12ª,19:00,Fluminense                   RJ  0  x  1  Vitória                           BA,Maracanã,Rio de Janeiro,RJ,27/06,qui,Fluminense,RJ,0,1,Vitória,BA,Fluminense RJ - 0,Vitória BA - 1,12
117,12ª,20:00,São Paulo                     SP  2  x  1  Criciúma                       SC,Morumbis,São Paulo,SP,27/06,qui,São Paulo,SP,2,1,Criciúma,SC,São Paulo SP - 2,Criciúma SC - 1,12
129,13ª,18:30,Cuiabá                          MT  1  x  1  Red Bull Bragantino    SP,Arena Pantanal,Cuiabá,MT,2025-06-29 00:00:00,sab,Cuiabá,MT,1,1,Red Bull Bragantino,SP,Cuiabá MT - 1,Red Bull Bragantino SP - 1,13
125,13ª,18:30,Vasco da Gama           RJ  1  x  1  Botafogo                      RJ,São Januário,Rio de Janeiro,RJ,2025-06-29 00:00:00,sab,Vasco da Gama,RJ,1,1,Botafogo,RJ,Vasco da Gama RJ - 1,Botafogo RJ - 1,13
122,13ª,11:00,Atlético                          MG 1  x  1  Atlético                         GO,Arena MRV,Belo Horizonte,MG,30/06,dom,Atlético,MG,1,1,Atlético,GO,Atlético MG - 1,Atlético GO - 1,13
121,13ª,16:00,Grêmio                          RS  1  x  0  Fluminense                  RJ,Centenário,Caxias do Sul,RS,30/06,dom,Grêmio,RS,1,0,Fluminense,RJ,Grêmio RS - 1,Fluminense RJ - 0,13
127,13ª,16:00,São Paulo                     SP  3  x  1  Bahia                            BA,Morumbis,São Paulo,SP,30/06,dom,São Paulo,SP,3,1,Bahia,BA,São Paulo SP - 3,Bahia BA - 1,13
128,13ª,16:00,Fortaleza                      CE  2  x  1  Juventude                    RS,Arena Castelão,Fortaleza,CE,30/06,dom,Fortaleza,CE,2,1,Juventude,RS,Fortaleza CE - 2,Juventude RS - 1,13
123,13ª,18:30,Vitória                           BA  0  x  1  Athletico                       PR,Manoel Barradas,Salvador,BA,30/06,dom,Vitória,BA,0,1,Athletico,PR,Vitória BA - 0,Athletico PR - 1,13
124,13ª,18:30,Flamengo                     RJ  2  x  1  Cruzeiro                       MG,Maracanã,Rio de Janeiro,RJ,30/06,dom,Flamengo,RJ,2,1,Cruzeiro,MG,Flamengo RJ - 2,Cruzeiro MG - 1,13
130,13ª,18:30,Criciúma                       SC  1  x  1  Internacional                RS,Heriberto Hulse,Criciúma,SC,30/06,dom,Criciúma,SC,1,1,Internacional,RS,Criciúma SC - 1,Internacional RS - 1,13
126,13ª,20:00,Palmeiras                     SP  2  x  0  Corinthians                   SP,Allianz Parque,São Paulo,SP,01/07,seg,Palmeiras,SP,2,0,Corinthians,SP,Palmeiras SP - 2,Corinthians SP - 0,13
139,14ª,19:00,Cuiabá                          MT  1  x  2  Botafogo                      RJ,Arena Pantanal,Cuiabá,MT,03/07,qua,Cuiabá,MT,1,2,Botafogo,RJ,Cuiabá MT - 1,Botafogo RJ - 2,14
135,14ª,20:00,Vasco da Gama           RJ  2  x  0  Fortaleza                      CE,São Januário,Rio de Janeiro,RJ,03/07,qua,Vasco da Gama,RJ,2,0,Fortaleza,CE,Vasco da Gama RJ - 2,Fortaleza CE - 0,14
140,14ª,20:00,Criciúma                       SC  1  x  0  Cruzeiro                       MG,Heriberto Hulse,Criciúma,SC,03/07,qua,Criciúma,SC,1,0,Cruzeiro,MG,Criciúma SC - 1,Cruzeiro MG - 0,14
137,14ª,21:30,Red Bull Bragantino     SP  3  x  1  Atlético                         GO,Nabi Abi Chedid,Bragança Paulista,SP,03/07,qua,Red Bull Bragantino,SP,3,1,Atlético,GO,Red Bull Bragantino SP - 3,Atlético GO - 1,14
132,14ª,21:30,Atlético                          MG 2  x  4  Flamengo                     RJ,Arena MRV,Belo Horizonte,MG,03/07,qua,Atlético,MG,2,4,Flamengo,RJ,Atlético MG - 2,Flamengo RJ - 4,14
138,14ª,21:30,Athletico                       PR  1  x  2  São Paulo                    SP,Ligga Arena,Curitiba,PR,03/07,qua,Athletico,PR,1,2,São Paulo,SP,Athletico PR - 1,São Paulo SP - 2,14
131,14ª,19:00,Grêmio                          RS  2  x  2  Palmeiras                     SP,Centenário,Caxias do Sul,RS,04/07,qui,Grêmio,RS,2,2,Palmeiras,SP,Grêmio RS - 2,Palmeiras SP - 2,14
133,14ª,19:00,Bahia                            BA  2  x  0  Juventude                    RS,Arena Fonte Nova,Salvador,BA,04/07,qui,Bahia,BA,2,0,Juventude,RS,Bahia BA - 2,Juventude RS - 0,14
136,14ª,20:00,Corinthians                   SP  3  x  2  Vitória                           BA,Neo Química Arena,São Paulo,SP,04/07,qui,Corinthians,SP,3,2,Vitória,BA,Corinthians SP - 3,Vitória BA - 2,14
134,14ª,20:00,Fluminense                   RJ  1  x  1  Internacional                RS,Maracanã,Rio de Janeiro,RJ,04/07,qui,Fluminense,RJ,1,1,Internacional,RS,Fluminense RJ - 1,Internacional RS - 1,14
144,15ª,20:00,Flamengo                     RJ  1  x  1  Cuiabá                          MT,Maracanã,Rio de Janeiro,RJ,2025-07-10 00:00:00,sab,Flamengo,RJ,1,1,Cuiabá,MT,Flamengo RJ - 1,Cuiabá MT - 1,15
147,15ª,20:00,São Paulo                     SP  2  x  0  Red Bull Bragantino    SP,Morumbis,São Paulo,SP,2025-07-10 00:00:00,sab,São Paulo,SP,2,0,Red Bull Bragantino,SP,São Paulo SP - 2,Red Bull Bragantino SP - 0,15
142,15ª,16:00,Cruzeiro                        MG 3  x  0  Corinthians                   SP,Mineirão,Belo Horizonte,MG,07/07,dom,Cruzeiro,MG,3,0,Corinthians,SP,Cruzeiro MG - 3,Corinthians SP - 0,15
150,15ª,16:00,Juventude                     RS  3  x  0  Grêmio                         RS,Alfredo Jaconi,Caxias do Sul,RS,07/07,dom,Juventude,RS,3,0,Grêmio,RS,Juventude RS - 3,Grêmio RS - 0,15
148,15ª,16:00,Fortaleza                      CE  1  x  0  Fluminense                  RJ,Arena Castelão,Fortaleza,CE,07/07,dom,Fortaleza,CE,1,0,Fluminense,RJ,Fortaleza CE - 1,Fluminense RJ - 0,15
141,15ª,18:00,Internacional                 RS  1  x  2  Vasco da Gama           RJ,Beira-Rio,Porto Alegre,RS,07/07,dom,Internacional,RS,1,2,Vasco da Gama,RJ,Internacional RS - 1,Vasco da Gama RJ - 2,15
143,15ª,18:30,Vitória                           BA  2  x  1  Criciúma                       SC,Manoel Barradas,Salvador,BA,07/07,dom,Vitória,BA,2,1,Criciúma,SC,Vitória BA - 2,Criciúma SC - 1,15
146,15ª,18:30,Palmeiras                     SP  2  x  0  Bahia                            BA,Allianz Parque,São Paulo,SP,07/07,dom,Palmeiras,SP,2,0,Bahia,BA,Palmeiras SP - 2,Bahia BA - 0,15
149,15ª,18:30,Atlético                          GO 1  x  2  Athletico                       PR,Antônio Accioly,Goiânia,GO,07/07,dom,Atlético,GO,1,2,Athletico,PR,Atlético GO - 1,Athletico PR - 2,15
145,15ª,20:30,Botafogo                       RJ  3  x  0  Atlético                         MG,Nilton Santos,Rio de Janeiro,RJ,07/07,dom,Botafogo,RJ,3,0,Atlético,MG,Botafogo RJ - 3,Atlético MG - 0,15
151,16ª,18:30,Grêmio                          RS  0  x  2  Cruzeiro                       MG,Centenário,Caxias do Sul,RS,10/07,qua,Grêmio,RS,0,2,Cruzeiro,MG,Grêmio RS - 0,Cruzeiro MG - 2,16
155,16ª,19:00,Vasco da Gama           RJ  2  x  0  Corinthians                   SP,São Januário,Rio de Janeiro,RJ,10/07,qua,Vasco da Gama,RJ,2,0,Corinthians,SP,Vasco da Gama RJ - 2,Corinthians SP - 0,16
158,16ª,19:00,Athletico                       PR  1  x  3  Bahia                            BA,Ligga Arena,Curitiba,PR,10/07,qua,Athletico,PR,1,3,Bahia,BA,Athletico PR - 1,Bahia BA - 3,16
156,16ª,19:30,Palmeiras                     SP  3  x  1  Atlético                         GO,Allianz Parque,São Paulo,SP,11/07,qui,Palmeiras,SP,3,1,Atlético,GO,Palmeiras SP - 3,Atlético GO - 1,16
154,16ª,20:00,Flamengo                     RJ  1  x  2  Fortaleza                      CE,Maracanã,Rio de Janeiro,RJ,11/07,qui,Flamengo,RJ,1,2,Fortaleza,CE,Flamengo RJ - 1,Fortaleza CE - 2,16
160,16ª,20:00,Criciúma                       SC  1  x  1  Fluminense                  RJ,Heriberto Hulse,Criciúma,SC,11/07,qui,Criciúma,SC,1,1,Fluminense,RJ,Criciúma SC - 1,Fluminense RJ - 1,16
152,16ª,21:30,Atlético                          MG 2  x  1  São Paulo                    SP,Arena MRV,Belo Horizonte,MG,11/07,qui,Atlético,MG,2,1,São Paulo,SP,Atlético MG - 2,São Paulo SP - 1,16
"153
159",16ª,21:30,Vitória                           BA  0  x  1  Botafogo                      RJ,Manoel Barradas,Salvador,BA,11/07,qui,Vitória,BA,0,1,Botafogo,RJ,Vitória BA - 0,Botafogo RJ - 1,16
,16ª,20:00,Cuiabá                          MT  0  x  0  Juventude                    RS,Arena Pantanal,Cuiabá,MT,05/09,qui,Cuiabá,MT,0,0,Juventude,RS,Cuiabá MT - 0,Juventude RS - 0,16
157,16ª,19:00,Red Bull Bragantino     SP  2  x  2  Internacional                RS,Nabi Abi Chedid,Bragança Paulista,SP,25/09,qua,Red Bull Bragantino,SP,2,2,Internacional,RS,Red Bull Bragantino SP - 2,Internacional RS - 2,16
162,17ª,16:00,Cruzeiro                        MG 2  x  1  Red Bull Bragantino    SP,Independência,Belo Horizonte,MG,2025-07-13 00:00:00,sab,Cruzeiro,MG,2,1,Red Bull Bragantino,SP,Cruzeiro MG - 2,Red Bull Bragantino SP - 1,17
163,17ª,16:00,Bahia                            BA  1  x  2  Cuiabá                          MT,Arena Fonte Nova,Salvador,BA,2025-07-13 00:00:00,sab,Bahia,BA,1,2,Cuiabá,MT,Bahia BA - 1,Cuiabá MT - 2,17
170,17ª,19:00,Juventude                     RS  1  x  1  Atlético                         MG,Mané Garrincha,Brasília,DF,16/07,ter,Juventude,RS,1,1,Atlético,MG,Juventude RS - 1,Atlético MG - 1,17
166,17ª,21:00,Corinthians                   SP  2  x  1  Criciúma                       SC,Neo Química Arena,São Paulo,SP,16/07,ter,Corinthians,SP,2,1,Criciúma,SC,Corinthians SP - 2,Criciúma SC - 1,17
169,17ª,19:00,Atlético                          GO 0  x  1  Vasco da Gama           RJ,Antônio Accioly,Goiânia,GO,17/07,qua,Atlético,GO,0,1,Vasco da Gama,RJ,Atlético GO - 0,Vasco da Gama RJ - 1,17
167,17ª,20:00,São Paulo                     SP  1  x  0  Grêmio                         RS,Morumbis,São Paulo,SP,17/07,qua,São Paulo,SP,1,0,Grêmio,RS,São Paulo SP - 1,Grêmio RS - 0,17
165,17ª,21:30,Botafogo                       RJ  1  x  0  Palmeiras                     SP,Nilton Santos,Rio de Janeiro,RJ,17/07,qua,Botafogo,RJ,1,0,Palmeiras,SP,Botafogo RJ - 1,Palmeiras SP - 0,17
168,17ª,21:30,Fortaleza                      CE  3  x  1  Vitória                           BA,Arena Castelão,Fortaleza,CE,17/07,qua,Fortaleza,CE,3,1,Vitória,BA,Fortaleza CE - 3,Vitória BA - 1,17
164,17ª,19:30,Fluminense                   RJ  1  x  0  Athletico                       PR,Maracanã,Rio de Janeiro,RJ,22/10,ter,Fluminense,RJ,1,0,Athletico,PR,Fluminense RJ - 1,Athletico PR - 0,17
161,17ª,19:00,Internacional                 RS  1  x  1  Flamengo                     RJ,Beira-Rio,Porto Alegre,RS,30/10,qua,Internacional,RS,1,1,Flamengo,RJ,Internacional RS - 1,Flamengo RJ - 1,17
174,18ª,16:00,Flamengo                     RJ  2  x  1  Criciúma                       SC,Mané Garrincha,Brasília,DF,2025-07-20 00:00:00,sab,Flamengo,RJ,2,1,Criciúma,SC,Flamengo RJ - 2,Criciúma SC - 1,18
175,18ª,18:30,Botafogo                       RJ  1  x  0  Internacional                RS,Nilton Santos,Rio de Janeiro,RJ,2025-07-20 00:00:00,sab,Botafogo,RJ,1,0,Internacional,RS,Botafogo RJ - 1,Internacional RS - 0,18
176,18ª,21:00,Palmeiras                     SP  2  x  0  Cruzeiro                       MG,Allianz Parque,São Paulo,SP,2025-07-20 00:00:00,sab,Palmeiras,SP,2,0,Cruzeiro,MG,Palmeiras SP - 2,Cruzeiro MG - 0,18
171,18ª,11:00,Grêmio                          RS  2  x  0  Vitória                           BA,Centenário,Caxias do Sul,RS,21/07,dom,Grêmio,RS,2,0,Vitória,BA,Grêmio RS - 2,Vitória BA - 0,18
172,18ª,16:00,Atlético                          MG 2  x  0  Vasco da Gama           RJ,Arena MRV,Belo Horizonte,MG,21/07,dom,Atlético,MG,2,0,Vasco da Gama,RJ,Atlético MG - 2,Vasco da Gama RJ - 0,18
173,18ª,16:00,Bahia                            BA  0  x  1  Corinthians                   SP,Arena Fonte Nova,Salvador,BA,21/07,dom,Bahia,BA,0,1,Corinthians,SP,Bahia BA - 0,Corinthians SP - 1,18
180,18ª,18:30,Juventude                     RS  0  x  0  São Paulo                    SP,Mané Garrincha,Brasília,DF,21/07,dom,Juventude,RS,0,0,São Paulo,SP,Juventude RS - 0,São Paulo SP - 0,18
178,18ª,18:30,Fortaleza                      CE  3  x  1  Atlético                         GO,Arena Castelão,Fortaleza,CE,21/07,dom,Fortaleza,CE,3,1,Atlético,GO,Fortaleza CE - 3,Atlético GO - 1,18
177,18ª,18:30,Red Bull Bragantino     SP  1  x  0  Athletico                       PR,Nabi Abi Chedid,Bragança Paulista,SP,21/07,dom,Red Bull Bragantino,SP,1,0,Athletico,PR,Red Bull Bragantino SP - 1,Athletico PR - 0,18
179,18ª,20:00,Cuiabá                          MT  0  x  1  Fluminense                  RJ,Arena Pantanal,Cuiabá,MT,21/07,dom,Cuiabá,MT,0,1,Fluminense,RJ,Cuiabá MT - 0,Fluminense RJ - 1,18
182,19ª,19:00,Cruzeiro                        MG 2  x  0  Juventude                    RS,Mineirão,Belo Horizonte,MG,24/07,qua,Cruzeiro,MG,2,0,Juventude,RS,Cruzeiro MG - 2,Juventude RS - 0,19
187,19ª,19:30,São Paulo                     SP  2  x  2  Botafogo                      RJ,Morumbis,São Paulo,SP,24/07,qua,São Paulo,SP,2,2,Botafogo,RJ,São Paulo SP - 2,Botafogo RJ - 2,19
183,19ª,20:00,Vitória                           BA  1  x  2  Flamengo                     RJ,Manoel Barradas,Salvador,BA,24/07,qua,Vitória,BA,1,2,Flamengo,RJ,Vitória BA - 1,Flamengo RJ - 2,19
184,19ª,21:30,Fluminense                   RJ  1  x  0  Palmeiras                     SP,Maracanã,Rio de Janeiro,RJ,24/07,qua,Fluminense,RJ,1,0,Palmeiras,SP,Fluminense RJ - 1,Palmeiras SP - 0,19
189,19ª,21:30,Atlético                          GO 1  x  1  Bahia                            BA,Antônio Accioly,Goiânia,GO,24/07,qua,Atlético,GO,1,1,Bahia,BA,Atlético GO - 1,Bahia BA - 1,19
186,19ª,20:00,Corinthians                   SP  2  x  2  Grêmio                         RS,Neo Química  Arena,São Paulo,SP,25/07,qui,Corinthians,SP,2,2,Grêmio,RS,Corinthians SP - 2,Grêmio RS - 2,19
190,19ª,19:30,Criciúma                       SC  1  x  0  Red Bull Bragantino    SP,Heriberto Hulse,Criciúma,SC,28/08,qua,Criciúma,SC,1,0,Red Bull Bragantino,SP,Criciúma SC - 1,Red Bull Bragantino SP - 0,19
181,19ª,19:30,Internacional                 RS  2  x  1  Fortaleza                      CE,Beira-Rio,Porto Alegre,RS,11/09,qua,Internacional,RS,2,1,Fortaleza,CE,Internacional RS - 2,Fortaleza CE - 1,19
185,19ª,19:00,Vasco da Gama           RJ  1  x  0  Cuiabá                          MT,São Januário,Rio de Janeiro,RJ,24/10,qui,Vasco da Gama,RJ,1,0,Cuiabá,MT,Vasco da Gama RJ - 1,Cuiabá MT - 0,19
188,19ª,18:30,Athletico                       PR  1  x  0  Atlético                         MG,Ligga Arena,Curitiba,PR,24/10,qui,Athletico,PR,1,0,Atlético,MG,Athletico PR - 1,Atlético MG - 0,19
